,form,lemma
0,þis,þis
1,his,he
2,sy,wesan
3,forewearde,forewearde
4,þe,se
5,Brichtric,Brichtric
6,7,7
7,his,he
8,gebedde,gebedde
9,habbað,habban
10,wið,wið
11,þa,þa
12,canonicas,canonicas
13,",",","
14,þæt,þæt
15,his,he
16,þæt,þæt
17,heo,heo
18,sculan,sculan
19,habban,habban
20,heora,hi
21,beira,beira
22,dæi,dæi
23,anes,an
24,canonikes,canonikes
25,gerihte,gerihte
26,on,on
27,mete,mete
28,7,7
29,on,on
30,eale,eale
31,7,7
32,heo,heo
33,habbað,habban
34,geunnen,geunnen
35,hyra,hi
36,land,land
37,þam,se
38,canonike,canonike
39,scær,scær
40,7,7
41,saccleas,saccleas
42,",",","
43,7,7
44,æfter,æfter
45,heora,hi
46,bera,bera
47,dæige,dæige
48,beon,beon
49,þa,þa
50,canonikes,canonikes
51,eruename,eruename
52,of,of
53,ealre,eal
54,æhte,æhte
55,7,7
56,þis,þis
57,beoð,beon
58,þa,þa
59,gewitnisse,gewitnisse
60,",",","
61,þæt,þæt
62,is,is
63,Ægelwine,Ægelwine
64,Brihtmeres,Brihtmeres
65,sune,sune
66,7,7
67,Leofstan,Leofstan
68,7,7
69,Hearding,Hearding
70,7,7
71,Bruning,Bruning
72,.,.
73,þis,þis
74,is,is
75,sy,wesan
76,forewearde,forewearde
77,þe,se
78,Ægelward,Ægelward
79,hafð,hafð
80,gemacad,gemacad
81,wið,wið
82,þonne,se
83,decanus,decanus
84,7,7
85,wið,wið
86,ealle,ealle
87,þa,þa
88,gebroðre,gebroðre
89,of,of
90,sce,sce
91,Paules,paulus
92,mynstre,mynster
93,þæt,þæt
94,is,is
95,of,of
96,ane,an
97,healfe,healf
98,hyde,hyd
99,landes,land
100,æt,æt
101,Sandune,Sandune
102,þæt,þæt
103,he,he
104,sceal,sculan
105,æfrice,æfrice
106,geare,geare
107,gyuen,gyuen
108,.,.
109,viii,viii
110,.,.
111,horen,horen
112,for,for
113,ealle,ealle
114,þinc,þing
115,7,7
116,hi,hi
117,sculan,sculan
118,baþa,baþian
119,habban,habban
120,he,he
121,7,7
122,hys,his
123,wif,wif
124,þa,þa
125,hwile,hwil
126,þa,þa
127,hy,hi
128,lyfieð,lyfieð
129,7,7
130,æfter,æfter
131,hyre,heo
132,begre,begre
133,dæge,dæge
134,habba,habba
135,scs,scs
136,Paulus,paulus
137,eall,eall
138,þæt,þæt
139,hy,hi
140,þær,þær
141,æfter,æfter
142,belæfeð,belæfeð
143,þa,þa
144,him,he
145,mid,mid
146,rihte,rihte
147,to,to
148,gebyrige,gebyrian
149,oppan,oppan
150,þan,se
151,ilcan,ilca
152,lande,land
153,7,7
154,þæt,þæt
155,he,he
156,habba,habba
157,þæt,þæt
158,land,land
159,swa,swa
160,swa,swa
161,hit,hit
162,nu,nu
163,gelogod,gelogod
164,is,is
165,.,.
166,7,7
167,þis,þis
168,synd,wesan
169,þa,þa
170,gewitnysse,gewitnysse
171,",",","
172,þæt,þæt
173,is,is
174,se,se
175,decanus,decanus
176,7,7
177,þa,þa
178,fuwer,fuwer
179,arcediacones,arcediacones
180,7,7
181,þysre,þysre
182,gewrite,gewrit
183,syndon,wesan
184,twa,twegen
185,",",","
186,an,on
187,haben,haben
188,þa,þa
189,gebroðre,gebroðre
190,7,7
191,þæt,þæt
192,oðer,oðer
193,Ægelward,Ægelward
194,",",","
195,7,7
196,hær,hær
197,wið,wið
198,wæs,beon
199,Colswegen,Colswegen
200,7,7
201,Ægelmær,Ægelmær
202,7,7
203,Sexi,Sexi
204,.,.
